Count,Tradelist Count,Name,Edition,Card Number,Condition,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
4,,Mind Stone,Weatherlight,,,,,,,,,,0.3
3,,Faerie Conclave,Urza's Legacy,139,,,,,,,,,0.8
3,,Abyssal Specter,Eighth Edition,117,,,,,,,,,0.07
1,,Air Elemental,Eighth Edition,59,,,,,,,,,0.05
1,,Angel of Mercy,Eighth Edition,1,,,,,,,,,0.07
2,,Angelic Page,Eighth Edition,2,,,,,,,,,0.05
4,,Aven Cloudchaser,Eighth Edition,5,,,,,,,,,0.05
4,,Aven Fisher,Eighth Edition,61,,,,,,,,,0.01
4,,Aven Flock,Eighth Edition,6,,,,,,,,,0.03
2,,Balduvian Barbarians,Eighth Edition,176,,,,,,,,,0.05
1,,Blaze,Eighth Edition,177,,,,,,,,,0.1
4,,Bog Imp,Eighth Edition,119,,,,,,,,,0.02
4,,Boomerang,Eighth Edition,63,,,,,,,,,0.05
4,,Canopy Spider,Eighth Edition,236,,,,,,,,,0.04
4,,Canyon Wildcat,Eighth Edition,181,,,,,,,,,0.03
1,,Carrion Wall,Eighth Edition,121,,,,,,,,,0.04
2,,Catalog,Eighth Edition,65,,,,,,,,,0.04
1,,Cinder Wall,Eighth Edition,182,,,,,,,,,0.03
2,,Circle of Protection: Black,Eighth Edition,10,,,,,,,,,0.07
4,,Circle of Protection: Blue,Eighth Edition,11,,,,,,,,,0.07
1,,Circle of Protection: White,Eighth Edition,14,,,,,,,,,0.05
4,,Coastal Hornclaw,Eighth Edition,66,,,,,,,,,0.03
4,,Coercion,Eighth Edition,122,,,,,,,,,0.03
4,,Coral Eel,Eighth Edition,70,,,,,,,,,0.03
4,,Craw Wurm,Eighth Edition,239,,,,,,,,,0.04
1,,Creeping Mold,Eighth Edition,240,,,,,,,,,0.04
4,,Crossbow Infantry,Eighth Edition,15,,,,,,,,,0.04
4,,Dark Banishing,Eighth Edition,123,,,,,,,,,0.04
3,,Deathgazer,Eighth Edition,126,,,,,,,,,0.03
4,,Deepwood Ghoul,Eighth Edition,127,,,,,,,,,0.03
4,,Dehydration,Eighth Edition,75,,,,,,,,,0.03
1,,Demolish,Eighth Edition,183,,,,,,,,,0.01
4,,Demystify,Eighth Edition,16,,,,,,,,,0.04
4,,Diving Griffin,Eighth Edition,17,,,,,,,,,0.04
4,,Drudge Skeletons,Eighth Edition,129,,,,,,,,,0.04
4,,Dusk Imp,Eighth Edition,130,,,,,,,,,0.01
1,,Dwarven Demolition Team,Eighth Edition,184,,,,,,,,,0.06
1,,Elite Javelineer,Eighth Edition,19,,,,,,,,,0.05
4,,Elvish Lyrist,Eighth Edition,242,,,,,,,,,0.07
2,,Elvish Pioneer,Eighth Edition,243,,,,,,,,,0.05
3,,Elvish Scrapper,Eighth Edition,245,,,,,,,,,0.07
2,,Enrage,Eighth Edition,185,,,,,,,,,0.05
2,,Execute,Eighth Edition,132,,,,,,,,,0.06
4,,Fear,Eighth Edition,134,,,,,,,,,0.04
2,,Fertile Ground,Eighth Edition,248,,,,,,,,,0.05
2,,Fighting Drake,Eighth Edition,77,,,,,,,,,0.04
4,,Flash Counter,Eighth Edition,78,,,,,,,,,0.05
4,,Flashfires,Eighth Edition,186,,,,,,,,,0.06
4,,Flight,Eighth Edition,80,,,,,,,,,0.01
4,,Fugitive Wizard,Eighth Edition,81,,,,,,,,,0.02
1,,Fyndhorn Elder,Eighth Edition,251,,,,,,,,,0.07
4,,Giant Badger,Eighth Edition,253,,,,,,,,,0.04
4,,Giant Cockroach,Eighth Edition,135,,,,,,,,,0.04
4,,Giant Growth,Eighth Edition,254,,,,,,,,,0.04
4,,Giant Spider,Eighth Edition,255,,,,,,,,,0.01
4,,Glory Seeker,Eighth Edition,21,,,,,,,,,0.02
3,,Goblin Chariot,Eighth Edition,188,,,,,,,,,0.05
4,,Goblin Raider,Eighth Edition,191,,,,,,,,,0.03
4,,Gravedigger,Eighth Edition,138,,,,,,,,,0.05
4,,Grizzly Bears,Eighth Edition,256,,,,,,,,,0.05
4,,Healing Salve,Eighth Edition,22,,,,,,,,,0.04
2,,Hill Giant,Eighth Edition,194,,,,,,,,,0.02
4,,Holy Day,Eighth Edition,23,,,,,,,,,0.07
4,,Holy Strength,Eighth Edition,24,,,,,,,,,0.04
4,,Honor Guard,Eighth Edition,25,,,,,,,,,0.03
4,,Horned Troll,Eighth Edition,257,,,,,,,,,0.03
4,,Horned Turtle,Eighth Edition,83,,,,,,,,,0.03
2,,Hunted Wumpus,Eighth Edition,258,,,,,,,,,0.07
1,,Inspiration,Eighth Edition,85,,,,,,,,,0.04
1,,Invisibility,Eighth Edition,87,,,,,,,,,0.06
1,,Ivory Cup,Eighth Edition,305,,,,,,,,,0.05
3,,Lava Axe,Eighth Edition,197,,,,,,,,,0.02
2,,Lightning Elemental,Eighth Edition,201,,,,,,,,,0.04
1,,Llanowar Behemoth,Eighth Edition,261,,,,,,,,,0.05
4,,Lone Wolf,Eighth Edition,262,,,,,,,,,0.06
